	PC 1	PC 2	PC 3
DYNC2H1	-0.00146	-0.00627	-0.01221
DYNC2LI1	-0.00253	-0.00541	-0.0049
DYNLL1	0.00007	0.00303	-0.00149
DYNLRB1	0.00135	-0.0067	0.01064
DYNLT1	0.0035	-0.00207	0.01102
DYNLT3	0.02956	0.005	-0.03224
DYRK4	0.00871	-0.00354	-0.00858
DYX1C1	-0.00618	0.00484	-0.02508
DZIP3	-0.00846	-0.01036	-0.00641
EAF1	0.00878	-0.00451	-0.01733
EAPP	-0.00218	0.00067	0.00522
EARS2	0.00087	0.01195	-0.0114
EBNA1BP2	0.00557	0.00796	0.00136
EBP	0.00916	0.02091	0.00145
ECD	0.0077	0.01021	0.00346
ECE1	0.00639	-0.0194	-0.01755
ECHDC1	0.02653	-0.00208	-0.00272
ECHS1	0.00631	0.00152	-0.00115
ECI2	0.00384	0.00741	0.01657
ECSIT	-0.00976	0.00297	0.00243
EDC3	-0.00198	0.013	-0.01326
EDEM2	0.00974	0.00366	-0.0096
EDEM3	-0.00752	0.0012	-0.01203
EDF1	0.0018	-0.0042	0.00961
EDNRB	-0.00577	0.00342	0.06688
EEA1	-0.00927	-0.0123	-0.01677
EEF1A1	-0.00703	0.00058	0.00251
EEF1B2	-0.0043	0.00582	0.00381
EEF1D	-0.00752	0.00137	0.01062
EEF1E1	-0.00245	0.00871	0.00621
EEF1G	-0.00422	0.00567	0.00326
EEF2	-0.00649	-0.00892	-0.00374
EFCAB2	-0.01495	0.01089	-0.00302
EFCAB7	0.01072	-0.00551	0.00177
EFEMP1	0.03928	0.02987	-0.08341
EFHC1	-0.00109	0.00428	-0.00472
EFNA1	0.01597	-0.02458	-0.03851
EFNA5	0.00771	0.00594	-0.00086
EFR3B	0.01453	-0.02172	-0.01572
EFTUD1	0.00116	0.01141	-0.01244
EFTUD2	0.01054	0.02383	0.00489
EGFR	-0.05959	-0.03107	0.03785
EGR1	0.00432	-0.02416	0.00395
EGR2	0.02504	0.00956	-0.00997
EHBP1	0.01196	-0.01224	-0.00347
EI24	-0.00508	0.00802	-0.00084
EID1	-0.01122	0.00344	0.00271
EIF1	0.00466	-0.00865	-0.0146
EIF1AD	-0.00915	-0.01969	-0.01182
EIF1AX	-0.00719	-0.00202	0.00119
EIF1AY	-0.0046	-0.02345	0.03475
EIF1B	-0.00758	-0.00704	0.0005
EIF2A	-0.01119	-0.00268	-0.00487
EIF2AK1	-0.01008	-0.00318	0.01225
EIF2AK2	-0.00252	0.01317	-0.01136
EIF2B1	-0.01024	0.01487	-0.0012
EIF2B2	0.01628	0.02459	-0.00056
EIF2B4	0.00516	-0.00243	-0.01026
EIF2B5	-0.00205	0.01366	-0.00253
EIF2C1	0.00292	-0.00498	0.00005
EIF2D	0.02004	0.01467	-0.01466
EIF2S1	-0.00302	0.01067	-0.00084
EIF2S2	-0.00126	-0.00994	0.01019
EIF2S3	0.00625	-0.00036	-0.00434
EIF3A	-0.00541	0.01185	-0.01091
EIF3B	-0.01141	-0.00715	-0.00497
EIF3C	0.00396	0.01406	0.0023
EIF3D	-0.01487	0.00751	-0.00928
EIF3E	-0.00712	0.00126	-0.00057
EIF3G	-0.00401	0.00236	0.00366
EIF3H	-0.00725	-0.00116	0.00659
EIF3I	0.00039	0.0112	0.00237
EIF3J	-0.00878	0.00039	0.00115
EIF3K	-0.00355	-0.0001	0.01579
EIF3L	-0.00635	0.00695	-0.00136
EIF4A1	0.00117	0.00613	0.00511
EIF4A2	-0.00474	0.00327	-0.00018
EIF4B	-0.00854	-0.00384	-0.0077
EIF4E	-0.00132	0.01377	0.00818
EIF4E2	0.00926	0.00142	-0.00438
EIF4EBP1	-0.01174	0.01113	0.00289
EIF4EBP2	-0.01509	-0.00218	-0.00598
EIF4ENIF1	-0.01596	-0.0025	-0.00261
EIF4G1	0.00276	0.01194	-0.00801
EIF4G2	0.00709	0.01427	0.00019
EIF4G3	-0.00133	-0.00427	0.00915
EIF4H	-0.00469	0.00386	-0.0047
EIF5	0.00075	0.00391	-0.0088
EIF5A2	-0.01087	-0.00634	-0.00811
EIF5B	-0.00248	0.00115	0.00293
ELAC1	-0.00033	0.01007	0.00026
ELK4	-0.00764	-0.00449	-0.01746
ELL2	0.00605	-0.02432	-0.03102
ELMO1	-0.00328	-0.03926	-0.00049
ELMO2	0.01497	0.0095	0.00608
ELMOD1	0.00607	0.01597	-0.03519
ELMOD2	0.00511	0.00623	-0.00516
ELMOD3	-0.00204	-0.00071	-0.01431
ELOF1	-0.00368	-0.00139	0.00158
ELOVL2	-0.01561	0.04051	0.0218
ELOVL5	0.02066	0.01943	-0.01888
ELP2	-0.0066	-0.01456	-0.00829
ELP3	0.00223	-0.00114	0.00248
ELP4	0.00492	-0.00025	0.00625
EMG1	0.01451	-0.00028	-0.0052
EML4	-0.0196	-0.00142	-0.00131
EMP1	0.04131	0.00349	-0.03079
EMP2	-0.01505	-0.00413	0.00204
EMP3	0.02254	-0.02582	0.00325
ENAH	0.00245	-0.00882	0.00729
ENDOD1	0.01274	0.01703	-0.01329
ENO1	0.00306	-0.00152	0.00188
ENO2	0.00311	-0.02774	-0.02554
ENSA	-0.00382	0.00097	-0.00405
ENTPD1	0.00183	-0.02118	-0.00834
ENTPD4	-0.00623	0.00914	-0.01874
ENTPD6	0.00869	-0.00631	-0.00433
ENY2	-0.01141	-0.00374	0.00277
EP300	-0.01705	-0.01397	-0.00384
EPAS1	0.0116	-0.01399	-0.03504
EPB41L2	-0.00347	-0.02638	0.01653
EPB41L4A	-0.01528	-0.00327	-0.01174
EPB41L5	-0.00383	-0.0144	0.00997
EPHA4	-0.0008	-0.00236	-0.01691
EPM2AIP1	-0.01122	-0.00901	-0.0202
EPRS	-0.00218	0.01472	-0.01347
EPS8	0.02124	0.00843	-0.00532
EPS15	-0.00027	-0.01601	-0.00799
EPT1	0.00746	0.00124	-0.00514
ERAL1	0.01266	0.02128	0.01647
ERAP1	0.00758	0.00205	-0.02
ERAP2	-0.00306	0.01172	0.00445
ERBB2IP	-0.00872	-0.00686	-0.0083
ERBB3	-0.0103	-0.01992	-0.00378
ERC1	-0.01313	-0.01264	-0.01129
ERCC1	-0.00353	-0.00643	0.0067
ERCC3	0.01343	0.0098	-0.00219
ERCC4	-0.00572	0.00074	-0.00815
ERCC5	-0.0269	-0.00756	-0.00276
ERCC6L2	-0.01085	0.00085	-0.00771
ERCC8	0.00685	0.01451	0.00874
ERGIC1	-0.01214	-0.00154	-0.00431
ERGIC2	-0.00029	0.00896	-0.00484
ERGIC3	0.00962	0.00908	0.00675
ERH	-0.00968	-0.0005	0.00217
ERI1	0.01156	0.01081	-0.01406
ERI3	0.00115	-0.00852	0.01197
ERLEC1	-0.00683	-0.00031	-0.01029
ERLIN1	0.0059	0.02578	0.00594
ERO1L	-0.0023	-0.01457	-0.02632
ERP29	0.0071	-0.00384	-0.00495
ERP44	-0.00923	-0.00655	-0.02097
ERV3-1	-0.00405	0.01129	-0.0187
ERVK13-1	-0.01233	-0.01628	-0.0141
ESCO1	-0.01449	-0.01375	-0.00254
ESD	-0.01184	0.00438	0.01446
ESF1	-0.00613	-0.00938	0.00183
ESYT1	0.02379	-0.00963	-0.01288
ETF1	-0.00443	0.00335	0.00113
ETFA	-0.00221	0.00933	0.01555
ETFB	0.02163	0.00185	0.00458
ETFDH	-0.00402	-0.00644	-0.00705
ETNK1	-0.01619	0.00862	-0.02198
ETV1	-0.01948	0.02689	0.01107
ETV5	-0.03188	0.01339	0.00192
ETV6	0.00493	-0.01172	0.01717
EVI5	-0.00376	-0.00274	-0.0065
EWSR1	-0.00536	-0.00154	0.00044
EXD2	0.02079	-0.01142	0.00442
EXOC1	0.00111	-0.00358	-0.0098
EXOC4	-0.0022	0.00378	-0.0047
EXOC5	-0.00192	0.00664	-0.00498
EXOC6B	0.01008	-0.01133	0.00707
EXOC7	0.00088	-0.00137	-0.0092
EXOG	0.00458	-0.00072	-0.00119
EXOSC2	0.00223	0.00116	-0.00659
EXOSC5	-0.00721	0.01058	0.00568
EXOSC7	-0.00254	-0.00254	-0.00605
EXOSC8	-0.02536	0.01123	0.00271
EXOSC9	-0.0016	0.01909	-0.00581
EXOSC10	-0.00317	0.00427	-0.00209
EXT2	0.00642	0.0086	-0.0211
EYA3	0.0021	0.00396	-0.00598
EZH1	0.00179	0.00095	-0.0263
EZR	0.04228	-0.02106	0.01929
F2R	-0.00639	-0.00259	-0.01152
F3	0.03627	-0.01749	0.0008
FABP5	-0.00362	0.06117	-0.08031
FABP7	-0.01393	0.00043	0.02126
FADS1	0.00972	-0.01444	0.00745
FADS2	-0.00053	-0.03056	0.03461
FAF2	0.00551	0.00644	0.00327
FAHD1	0.00379	-0.00837	0.00001
FAHD2A	0.02193	0.01242	-0.00245
FAIM	0.00504	-0.00953	0.00315
FAIM2	-0.00401	-0.00905	0.00975
FAM3C	-0.0193	-0.00455	0.00029
FAM5C	-0.00354	0.01785	0.02021
FAM13A	0.00687	-0.02926	-0.02518
FAM13B	-0.01727	-0.00742	-0.00794
FAM18B1	0.0051	0.01102	-0.02674
FAM21C	-0.00385	0.00598	-0.00042
FAM32A	0.00204	0.00681	0.0075
FAM35A	-0.00082	0.00101	-0.00218
FAM45A	0.0014	-0.00046	-0.00187
FAM46A	-0.01096	0.02447	-0.0214
FAM48A	-0.01749	0.01433	0.00607
FAM49A	-0.01296	0.01441	-0.0143
FAM54B	0.0052	0.00696	-0.01878
FAM55C	-0.01729	-0.01283	-0.0193
FAM59A	-0.00278	-0.00644	-0.00735
FAM59B	-0.01613	-0.00354	0.04818
FAM60A	-0.01154	-0.00263	0.00107
FAM63A	0.00601	-0.01757	-0.0018
FAM66D	-0.0002	-0.01664	-0.01629
FAM69A	0.00737	-0.01336	0.01784
FAM70A	0.03053	-0.01621	0.0133
FAM73A	-0.00546	-0.01164	-0.01758
FAM76A	-0.00216	-0.02224	-0.01134
FAM76B	-0.00574	0.0014	0.00289
FAM82A2	0.01206	0.01977	-0.00433
FAM82B	0.00637	-0.00799	-0.00353
FAM92A1	-0.01036	0.01238	0.00358
FAM96A	-0.00871	0.00756	-0.00543
FAM98A	0.00389	0.00752	-0.00532
FAM103A1	-0.01306	-0.00363	-0.00905
FAM104A	-0.0019	0.00887	-0.00608
FAM104B	0.00131	-0.00498	0.00326
FAM107A	0.05375	-0.03765	0.04049
FAM110B	-0.01825	-0.02338	-0.00163
FAM111A	-0.01344	0.0179	0.00843
FAM114A1	0.0095	-0.02564	-0.01032
FAM114A2	0.01441	0.00279	-0.0174
FAM115A	-0.01209	0.0046	-0.00687
FAM115C	0.01319	-0.02531	-0.03347
FAM118B	0.0234	0.00335	0.01036
FAM120A	-0.00943	-0.01057	0.00593
FAM120B	0.00291	0.01306	-0.0124
FAM122C	-0.01338	0.0017	-0.00176
FAM126A	0.0082	-0.00569	-0.008
FAM126B	-0.01779	-0.00828	-0.00509
FAM127A	0.0086	-0.00525	0.00007
FAM127B	-0.0071	-0.01736	0.00141
FAM129A	0.01499	0.00358	-0.01413
FAM131A	-0.00529	-0.02079	-0.00768
FAM133B	-0.00136	-0.00731	0.00931
FAM134A	-0.00299	-0.00864	0.00121
FAM134C	-0.01351	0.00241	-0.00809
FAM135A	0.00304	-0.02123	-0.00748
FAM136A	-0.00989	0.00835	0.00487
FAM156A	-0.00343	-0.00187	-0.00478
FAM161A	-0.00489	-0.01892	-0.00198
FAM162A	-0.00191	-0.00279	-0.0017
FAM165B	-0.00535	-0.00499	-0.00036
FAM168B	-0.00087	-0.00643	0.0029
FAM169A	-0.00603	-0.00718	0.00562
FAM171B	0.00702	-0.01503	-0.00003
FAM175A	-0.00554	-0.00218	-0.00592
FAM177A1	-0.00229	-0.00084	-0.00309
FAM178A	-0.01245	0.01697	-0.00052
FAM179B	-0.01184	0.00173	-0.00924
FAM188A	0.00377	0.00595	0.00396
FAM190B	0.00677	-0.01306	-0.00118
FAM192A	-0.00084	0.0035	0.00498
FAM193A	-0.00843	-0.01251	-0.00812
FAM195B	-0.01003	-0.00726	0.00294
FAM197Y6	-0.01737	-0.04073	-0.00869
FAM198B	0.0389	-0.02274	0.01336
FAM200B	-0.01003	-0.01549	0.00875
FAM204A	-0.01381	-0.00816	-0.00932
FAM206A	0.03045	-0.00735	-0.0068
FAM208A	-0.00648	-0.00538	0.00208
FAM210A	-0.0026	-0.01869	-0.02395
FAM213A	0.00473	0.00675	0.01507
FAM214A	-0.00811	-0.00829	-0.00524
FAM217B	-0.01199	-0.00705	-0.00366
FAM221A	-0.00693	-0.01302	-0.00512
FAN1	-0.00047	0.0175	-0.00622
FANCD2	-0.01923	0.00714	0.01157
FANCF	-0.012	0.0022	-0.01706
FANCI	-0.01653	0.02896	0.02971
FANCL	-0.00173	0.02462	-0.0058
FAR1	0.00646	-0.00412	-0.00092
FARS2	0.00755	0.01764	0.00123
FARSA	-0.00396	0.01325	0.00291
FARSB	-0.00164	0.00722	0.00701
FAS	0.01488	-0.0206	-0.00665
FASTK	-0.00333	-0.0006	-0.00122
FASTKD1	-0.00487	0.01636	-0.00036
FASTKD2	-0.00145	0.00395	-0.00245
FASTKD3	-0.00483	0.00215	0.00168
FAT1	0.00455	-0.00695	-0.01597
FAT3	-0.02418	0.00294	0.01109
FAU	-0.00177	-0.00354	0.0017
FBXL5	0.00632	0.01324	0.00442
FBXL12	0.00758	-0.00314	-0.00097
FBXL18	-0.01387	-0.01807	-0.01279
FBXL20	-0.00698	-0.00804	-0.01056
FBXO3	0.01239	0.01552	-0.00039
FBXO4	-0.00381	0.00057	-0.01523
FBXO7	-0.01029	-0.0086	-0.00541
FBXO11	-0.01091	-0.00962	0.0051
FBXO21	-0.00565	0.01187	-0.006
FBXO22	-0.00204	0.02955	0.00073
FBXO32	0.01605	-0.0377	-0.01484
FBXO36	0.0136	-0.01474	0.00727
FBXO42	-0.01285	-0.00354	-0.01548
FBXO44	0.00326	-0.01224	-0.00015
FBXW2	-0.00953	-0.00408	-0.02108
FBXW7	0.00406	-0.00155	-0.01059
FBXW9	0.01955	-0.00039	0.00314
FCGRT	0.0188	-0.01032	-0.00843
FCHO2	-0.00485	-0.0188	-0.00952
FCHSD2	-0.00403	-0.00151	-0.00231
FDFT1	0.00668	0.00968	0.00357
FDPS	-0.00323	0.02091	0.00829
FDPSP2	-0.00771	-0.01972	-0.03365
FECH	0.00799	0.00148	-0.00447
FEM1B	-0.01381	-0.01134	0.00282
FEM1C	-0.00852	0.00411	-0.00897
FEN1	-0.00339	0.02992	0.02675
FER	-0.00274	0.00874	0.00572
FERMT2	0.02335	-0.02431	0.00751
FEZ1	0.00147	0.0048	0.01913
FGD2	-0.01383	-0.01501	-0.01721
FGD4	-0.00781	0.00091	0.00364
FGF1	0.0154	0.00979	0.00269
FGF5	-0.01827	-0.0266	-0.00713
FGF12	-0.00321	0.02363	-0.00587
FGFR1	-0.00781	-0.02238	-0.0048
FGFR1OP2	-0.01546	-0.00322	-0.01041
FGGY	-0.01384	-0.01523	-0.0023
FH	0.00907	0.0209	0.00835
FHL1	-0.00083	-0.01383	0.00166
FIBIN	0.00297	0.02214	0.017
FIBP	-0.00286	0.01405	0.00888
FIG4	0.01584	-0.00029	0.00419
FIGN	0.0064	-0.00381	-0.00333
FIGNL1	-0.00616	0.05081	0.02899
PDGFRA	-0.00323	0.01084	0.01178
FIS1	-0.00175	-0.00058	0.0062
FKBP1A	0.00467	0.01859	-0.00452
FKBP2	-0.00044	-0.00135	-0.00053
FKBP3	-0.00371	0.00489	0.00455
FKBP5	-0.01179	0.0322	-0.01993
FKBP9	-0.00012	-0.00362	-0.00408
FKBP15	0.00413	0.00856	-0.02349
FKTN	-0.00341	0.00265	-0.01328
FLAD1	-0.00143	-0.00145	0.00723
FLOT2	0.00525	0.01327	0.00702
FLRT3	0.0097	0.01894	-0.03712
FLVCR1	-0.0116	-0.00692	-0.01073
FMNL2	-0.01693	-0.01076	0.00149
FMNL3	-0.01485	0.00011	0.01931
FMR1	-0.01185	-0.00019	-0.00533
FN1	0.04584	-0.0379	-0.00198
FN3KRP	0.00145	0.02573	-0.00119
FNBP1L	-0.00358	-0.00559	0.02129
FNDC3A	-0.01535	0.0004	-0.01573
FNDC3B	-0.00251	-0.00125	-0.02312
FNTA	-0.00102	-0.0061	0.00516
FOCAD	-0.00508	0.01492	-0.02846
FOPNL	-0.00052	0.00299	-0.00461
FOS	0.01064	-0.01125	0.00185
FOSB	0.0235	-0.03837	0.0004
FOXJ3	-0.02175	-0.01607	-0.01178
FOXK1	0.01049	-0.00393	-0.01904
FOXN2	-0.0187	0.00093	-0.00895
FOXO3	-0.0208	-0.02115	-0.00942
FOXO3B	-0.0141	-0.01902	-0.00769
FOXP1	-0.01355	-0.01027	-0.03269
FOXRED1	0.0027	-0.00028	-0.00071
FOXRED2	-0.00507	0.00302	0.01106
FPGT	0.0022	-0.00867	-0.0193
FREM2	-0.02313	0.02144	-0.01797
FRG1	-0.01469	-0.00018	-0.00151
FRMD4A	-0.02173	-0.00539	-0.01453
FRMD6	0.00697	-0.01048	0.02253
FRS2	0.00173	-0.00634	0.00724
FRYL	-0.00681	0.01008	-0.01891
FTH1	0.0109	-0.03019	0.00191
FTL	0.00969	-0.01982	-0.00168
FTO	0.00467	0.00278	-0.00207
FTSJ1	-0.00047	0.00769	0.00272
FTSJ2	0.0012	0.02137	-0.00277
FTSJ3	0.00484	0.02778	-0.00829
FTSJD1	0.00511	-0.00135	-0.00894
FTX	-0.01308	-0.00701	-0.02463
FUBP1	-0.017	0.0007	-0.00593
FUNDC2	-0.0082	-0.00203	-0.00218
FUS	-0.01113	0.00722	0.00266
FUT8	-0.01107	0.01026	-0.00821
FXC1	0	0.01672	-0.00423
FXR1	-0.0113	-0.01002	-0.00481
FXYD6	0.0007	0.0108	0.05245
FYN	-0.00873	-0.00882	0.00365
FYTTD1	-0.00103	-0.00218	0.00261
FZD3	-0.01192	0.0062	-0.00714
FZD5	0.00876	0.00074	-0.02577
G2E3	-0.00318	0.00036	-0.00501
G3BP1	-0.0027	0.01857	0.00737
G3BP2	-0.0114	-0.00867	0.00524
G6PC3	0.01377	0.00916	0.00195
GAB1	-0.01022	-0.00227	-0.00739
GABARAP	0.00346	-0.00259	0.00571
GABARAPL2	-0.00538	0.00495	0.00985
GABPA	-0.00534	0.00028	-0.00053
GABRB1	-0.00434	-0.01315	0.02428
GADD45B	0.03112	-0.02769	0.01094
GAL3ST4	-0.00049	-0.00158	0.02865
GALE	0.01696	0.01418	0.00814
GALK2	-0.00358	0.00351	-0.01077
GALM	0.01203	-0.0193	0.00607
GALNT7	0.00901	0.01799	-0.01238
GALNT10	0.00844	-0.02768	0.00265
GALNT11	-0.00753	0.00052	-0.0026
GALNTL2	0.01671	-0.03776	-0.02559
GANC	-0.01047	-0.00113	-0.01517
GAP43	0.04139	0.0155	-0.03535
GAPVD1	-0.00095	-0.00213	-0.00345
GARS	-0.01159	-0.01127	-0.00686
GART	-0.00212	0.01762	0.00552
GAS7	0.00691	-0.0097	0.00597
GATAD2B	-0.02492	-0.01003	-0.00281
GATC	0.00671	-0.00195	-0.00202
GATM	-0.00429	-0.00782	-0.00178
GBA	0.03672	0.02118	-0.02601
GBA2	0.00516	-0.00855	0.01982
GBAS	-0.01514	-0.023	-0.0149
GBE1	0.00309	0.00094	-0.04771
GBF1	-0.00258	0.00258	0.00452
GBP1	0.06068	-0.03445	-0.00985
GBP2	0.05004	-0.03752	-0.00906
GBP4	-0.0124	-0.02634	-0.01259
GCA	0.02368	-0.01128	0.02225
GCAT	0.00315	0.00834	0.01038
GCC2	-0.00782	-0.00629	-0.01452
GCFC1	-0.00129	-0.00934	-0.00208
GCLM	-0.00807	-0.01309	-0.01234
GCN1L1	-0.0078	-0.00149	-0.01373
GCNT2	-0.00675	0.02258	-0.00257
GDAP1	0.00195	0.03058	-0.01357
GDAP2	-0.01113	-0.00092	-0.0139
GDE1	0.0043	-0.00221	0.0172
GDI1	0.00589	-0.00771	0.00493
GDI2	0.00001	0.00937	-0.00223
GDPD1	-0.01049	-0.01893	0.00265
GDPD2	0.03351	-0.02132	0.02555
GEM	0.05098	-0.01617	-0.0009
GEMIN2	0.00162	0.01792	0.005
GEMIN5	-0.0023	0.01618	0.00123
GEMIN7	0.01487	0.00552	0.00291
GEMIN8	-0.00376	0.0005	0.00681
GFAP	0.06405	-0.04543	0.01652
GFM1	0.00852	0.01387	-0.00498
GFM2	-0.00879	0.00903	0.00177
GFOD2	0.00617	0.00164	-0.00416
GFPT1	-0.01197	-0.00293	-0.01198
GFPT2	0.03515	-0.0007	-0.029
GGA1	-0.01127	-0.02117	-0.00956
GGCT	0.00572	0.00082	0.01505
GGCX	0.01852	0.00269	-0.00642
GGH	0.00505	0.02595	0.01388
GGNBP2	-0.01374	0.00062	0.00418
GGPS1	-0.00147	0.01088	-0.00366
GGT7	-0.01215	-0.01275	-0.01498
GHITM	0.00546	-0.00485	-0.0065
GIGYF2	-0.00658	-0.01187	-0.00593
GINS1	-0.00608	0.00859	0.02022
GIT2	-0.0071	0.01334	-0.01071
GJA1	0.03956	-0.02769	0.0228
GK5	-0.01187	-0.02084	0.00484
GLA	0.00087	0.00816	-0.00081
GLB1	0.01794	0.03412	-0.01434
GLCE	-0.00324	0.02685	-0.02184
GLDC	-0.01854	0.00442	0.00887
GLE1	0.00917	0.01741	0.00038
GLG1	0.00401	-0.00321	0.00067
GLIPR1	0.05665	-0.03648	-0.02048
GLIPR2	0.02366	-0.01747	0.03804
GLIS3	0.02814	-0.03082	0.00815
GLO1	0.00248	0.00247	0.00696
GLOD4	-0.00345	-0.00728	0.00487
GLRB	0.00644	0.00937	-0.01041
GLRX	0.05045	-0.01494	-0.01296
GLRX3	0.00301	0.02122	0.00022
GLS	-0.01978	-0.00788	-0.02122
GLT8D1	0.0045	-0.00226	-0.00513
GLT25D1	0.01388	-0.00825	-0.02661
GLT25D2	-0.00288	0.01796	0.02168
GLTP	0.00419	0.00267	0.00495
GLUD1	0.00437	-0.00595	0.00236
GLUL	0.014	0.00721	-0.01468
GLYR1	-0.01403	-0.00383	-0.00128
GM2A	0.03581	-0.00037	-0.00341
GMFB	0.01265	0.00897	0.01238
GMNN	0.00071	0.02242	0.01025
GMPPA	0.0148	0.01753	-0.00334
GMPR2	0.02063	0.00095	-0.00002
GMPS	-0.00103	0.0151	0.00615
GNA13	0.00538	-0.00013	-0.01899
GNAI1	0.00417	-0.01162	0.01114
GNAI2	0.00628	-0.01372	0.00381
GNAQ	-0.01027	-0.01304	-0.00647
GNAS	-0.00518	-0.007	0.00971
GNB1	-0.0122	-0.01345	0.00418
GNB2L1	-0.0065	0.01183	-0.00062
GNB4	0.01212	-0.00371	0.00389
GNB5	-0.00965	0.00154	-0.01274
GNG2	0.00168	-0.00399	0.03695
GNG5	0.00259	0.00374	-0.00305
GNG7	-0.02988	0.00695	0.0261
GNG10	-0.00327	-0.00407	-0.0008
GNG12	0.02206	0.0002	-0.01618
GNL2	-0.00543	0.0154	-0.00377
GNL3	-0.00949	-0.00515	-0.00046
GNL3L	0.006	0.01438	-0.00884
GNPAT	0.01123	-0.00098	-0.0105
GNPDA1	0.0098	0.02621	-0.01074
GNPNAT1	-0.0034	0.00844	-0.00509
GNS	0.00462	0.00946	-0.00788
GOLGA1	0.00018	0.00742	-0.00094
GOLGA3	-0.00236	-0.00339	-0.0049
GOLGA4	-0.00653	-0.01449	-0.00683
GOLGA5	0.00078	-0.00413	-0.00006
GOLGA7	0.00024	0.00459	-0.00522
GOLGA8A	-0.02066	-0.00281	-0.01276
GOLGA8B	-0.00508	0.00508	-0.01683
GOLGB1	-0.00388	-0.0056	0.00269
GOLM1	0.00354	-0.00085	-0.00689
GOLPH3L	-0.00073	-0.00735	-0.02682
GOLT1B	0.00215	0.00178	-0.01289
GORAB	0.00981	0.00109	0.00206
GORASP1	0.01208	0.00407	0.00496
GORASP2	-0.01	0.00914	-0.00045
GOSR1	-0.00109	-0.00696	-0.00261
GOSR2	0.0068	0.00272	-0.0066
GOT1	0.00902	0.01395	-0.00654
GOT2	0.00085	0.0238	-0.00273
GPATCH1	-0.00688	0.00295	0.00136
GPATCH2	0.00369	-0.00595	-0.01075
GPATCH4	0.00418	0.01255	0.00431
GPATCH8	-0.00888	-0.01261	-0.00228
GPBP1	-0.00578	0.00339	0.00472
GPBP1L1	-0.01155	-0.00302	-0.01365
GPCPD1	-0.02137	-0.02472	0.0054
GPD1L	0.02946	0.00627	0.0125
GPD2	0.00477	-0.00396	-0.00382
GPI	-0.00524	0.01527	-0.00339
GPKOW	0.01176	-0.00439	0.00842
GPM6A	-0.00073	0.01196	0.02014
GPM6B	0.01023	0.02212	0.00473
GPN1	0.01941	0.0028	0.00433
GPN3	0.00627	-0.00094	-0.01625
GPNMB	0.00769	-0.04884	-0.01878
GPR37L1	-0.02408	-0.00075	0.01762
GPR56	-0.00612	-0.02131	0.03788
GPR89A	0.00778	0.00545	0.00392
GPR89B	0.00153	0.00557	0.00675
GPR98	0.00788	-0.02872	0.00572
GPR108	0.01968	0.00033	-0.00472
GPR125	-0.01394	-0.02012	-0.00087
GPRASP1	0.00048	0.00437	-0.02096
GPRASP2	-0.00082	0.00811	0.00843
GPRC5B	-0.00983	-0.02196	-0.00615
GPS1	0.00411	0.01671	0.02114
GPS2	-0.00875	-0.01024	0.00705
GPSM2	-0.00784	-0.00325	0.00753
GPX1	-0.017	0.00992	0.00158
GPX3	-0.00392	-0.00966	-0.04811
GPX4	-0.00015	-0.0042	0.01073
GPX7	0.01049	0.00562	0.01073
GRAMD1C	-0.00073	-0.00167	-0.0007
GRAMD3	0.01872	-0.02637	0.01387
GRB2	0.00336	-0.00163	0.00345
GRB10	-0.00175	0.00869	-0.04172
GRHPR	0.00272	-0.00631	0.02604
GRIA1	-0.00771	-0.00093	0.00343
GRIA2	-0.0262	0.0092	0.00207
GRIA3	-0.01956	0.01536	0.00182
GRIA4	-0.03464	0.02664	0.04559
GRIK1	-0.01372	0.01081	0.00319
GRIK2	-0.00584	0.00482	0.00408
GRIK3	-0.0083	-0.01137	0.02217
GRIPAP1	-0.00394	0.00016	-0.00687
GRN	0.02373	0.01646	-0.00795
GRPEL1	0.01395	0.00795	-0.00162
GRPEL2	-0.00088	0.0105	-0.00628
GRSF1	-0.00439	-0.01207	0.00059
GSN	0.01728	-0.02452	-0.00608
GSPT1	-0.01192	-0.00386	-0.00502
GSPT2	-0.00164	0.01446	-0.01183
GSS	0.01839	0.01637	0.00578
GSTA4	-0.00228	-0.01287	0.00515
GSTCD	-0.00585	-0.012	-0.00729
GSTK1	0.01162	0.00444	-0.00697
GSTM1	0.03626	0.00139	0.01684
GSTM2	-0.00146	-0.00345	0.00776
GSTM3	0.01407	-0.01378	0.01801
GSTO1	0.00517	0.01786	-0.00385
GSTP1	-0.0037	0.00898	0.01053
GSTT1	0.01422	0.01925	0.01447
GSTT2	0.04266	-0.01395	0.01936
GSTZ1	0.00084	-0.0054	-0.00475
GTF2A2	-0.01628	0.00286	0.00333
GTF2B	-0.00079	0.00578	-0.00528
GTF2E1	0.00141	0.01368	0.00269
GTF2F1	-0.01021	-0.00549	0.00074
GTF2F2	-0.01693	-0.01351	0.02123
GTF2H1	-0.0025	-0.00494	-0.01152
GTF2H2	-0.00551	0.00102	0.00448
GTF2H2C	-0.01163	0.00393	-0.00155
GTF2H5	-0.00092	-0.00485	-0.00203
GTF2I	-0.0062	-0.0036	0.00539
GTF2IP1	-0.01412	-0.00939	0.00836
GTF2IRD1	-0.01083	-0.01407	-0.00992
GTF2IRD2	-0.01739	-0.00935	-0.00505
GTF2IRD2B	-0.01384	-0.01838	-0.0078
GTF3C1	0.00936	0.0099	0.00355
GTF3C3	0.00082	0.01211	-0.00914
