	Cell1	Cell2	Cell3	Cell4	Cell5	Cell6	Cell7	Cell8	Cell9	Cell10	Cell11	Cell12	Cell13	Cell14	Cell15	Cell16	Cell17	Cell18	Cell19	Cell20	Cell21	Cell22	Cell23	Cell24	Cell25	Cell26	Cell27	Cell28	Cell29	Cell30	Cell31	Cell32	Cell33	Cell34	Cell35	Cell36	Cell37	Cell38	Cell39	Cell40	Cell41	Cell42	Cell43	Cell44	Cell45	Cell46	Cell47	Cell48	Cell49	Cell50	Cell51	Cell52	Cell53	Cell54	Cell55	Cell56	Cell57	Cell58	Cell59	Cell60	Cell61	Cell62	Cell63	Cell64	Cell65
ELF2	0.01	0.34	0.85	0.70	0.77	0.48	0.56	0.41	0.94	0.55	0.80	0.30	0.41	0.98	0.11	0.89	0.60	0.21	0.96	0.67	0.79	0.89	0.01	0.34	0.42	0.52	0.06	0.49	0.86	0.16	0.88	0.06	0.05	0.95	0.75	0.44	0.61	0.24	0.65	0.31	0.55	0.66	0.33	0.50	0.88	0.54	0.16	0.51	0.22	0.97	0.99	0.12	0.74	0.88	0.01	0.85	0.62	0.34	0.54	0.59	0.09	0.53	0.76	0.98	0.60
2810046L04RIK	0.60	0.88	0.33	0.35	0.41	0.93	0.36	0.37	0.20	1.00	0.25	0.44	0.44	0.13	0.42	0.12	0.94	0.50	0.74	0.66	0.72	0.75	0.39	0.39	0.84	0.49	0.91	0.56	0.28	0.10	0.77	0.20	0.75	0.30	0.12	0.07	0.28	0.49	0.32	0.20	0.10	0.51	0.80	0.56	0.79	0.49	0.34	0.35	0.46	0.25	0.24	0.43	0.51	0.14	0.93	0.34	0.43	0.13	0.12	0.51	0.25	0.20	0.79	0.81	0.29
TSC22D2	0.43	0.97	0.41	0.57	0.47	0.67	0.47	0.36	0.14	0.56	0.99	0.60	0.39	0.63	0.97	0.86	0.63	0.87	0.51	0.60	0.80	0.83	0.64	0.32	0.09	0.42	0.82	0.14	0.44	0.64	0.05	0.49	0.21	0.88	0.14	0.51	0.93	0.92	0.55	0.26	0.00	0.78	0.16	0.19	0.73	0.35	0.34	0.22	0.13	0.89	0.85	0.48	0.83	0.43	0.13	0.45	0.20	0.03	0.15	0.69	0.63	0.89	0.15	0.17	0.99
P2RY14	0.12	0.35	0.41	0.91	0.08	0.58	0.79	0.34	0.81	0.08	0.42	0.73	0.09	0.36	0.31	0.19	0.53	0.66	0.33	0.84	0.14	0.12	0.43	0.15	0.94	0.15	0.33	0.21	0.26	0.91	0.10	0.60	0.87	0.51	0.42	0.59	0.07	0.29	0.92	0.70	0.82	0.37	0.69	0.46	0.55	0.16	0.44	0.41	0.75	0.46	0.48	0.89	0.64	0.97	0.66	0.75	0.35	0.14	0.17	0.84	0.38	0.76	0.93	0.31	0.49
GMPS	0.50	0.13	0.87	0.49	0.51	0.60	0.93	0.99	0.59	0.27	0.61	0.02	0.98	0.15	0.53	0.72	0.89	0.52	0.38	0.83	0.96	0.79	0.13	0.90	0.80	0.10	0.88	0.09	0.38	0.87	0.32	0.69	0.08	0.00	0.21	0.19	0.39	0.31	0.27	0.76	0.31	0.79	0.01	0.84	0.05	1.00	0.17	0.84	0.76	0.89	0.14	0.41	0.35	0.48	0.57	0.33	0.82	0.93	0.15	0.33	0.90	0.51	0.84	0.78	0.69
GFM1	0.61	0.71	0.89	0.73	0.91	0.29	0.88	0.96	0.16	0.88	0.02	0.49	0.64	0.70	0.28	0.13	0.93	0.10	0.75	0.09	0.04	0.52	0.96	0.32	0.26	0.09	0.27	0.47	0.61	0.06	0.69	0.25	0.69	0.92	0.95	0.07	0.03	0.48	0.82	0.75	0.39	0.87	0.27	0.63	0.31	0.55	0.88	0.75	0.13	0.04	0.10	0.27	0.97	0.21	0.22	0.42	0.40	0.84	0.48	0.98	0.87	0.46	0.83	0.04	0.59
PDCD10	0.25	0.13	0.94	0.33	0.12	0.30	0.80	0.56	0.02	0.66	0.75	0.32	0.27	0.51	0.05	0.12	0.66	0.44	0.82	0.77	0.27	0.18	0.95	0.35	0.91	0.76	0.59	0.80	0.27	0.53	0.18	0.60	0.23	0.56	0.11	0.08	0.54	0.15	0.36	0.95	0.36	0.42	0.50	0.66	0.87	0.37	0.44	0.14	0.14	0.27	0.51	0.09	0.08	0.22	0.10	0.48	0.29	0.87	0.94	0.02	0.93	0.58	0.39	0.18	0.24
FAM198B	0.72	0.23	0.20	0.19	0.15	0.71	0.53	0.39	0.11	0.55	0.11	0.18	0.01	0.19	0.57	0.44	0.87	0.99	0.39	0.46	0.02	0.47	0.38	0.44	0.34	0.06	0.31	0.37	0.97	0.43	0.80	0.72	0.80	0.46	0.88	0.25	0.19	0.46	0.50	0.32	0.06	0.64	0.09	0.09	0.35	0.74	0.88	0.24	0.63	0.64	0.04	0.18	0.20	0.47	0.83	0.26	0.12	0.26	0.70	0.86	0.67	0.96	0.74	0.35	0.33
ARFIP1	0.89	0.01	0.63	0.17	0.64	0.66	0.99	0.25	0.97	0.41	0.84	0.39	0.39	0.26	0.09	0.09	0.96	0.50	0.46	0.43	0.69	0.97	0.85	0.54	0.32	0.85	1.00	0.44	0.56	0.28	0.54	0.87	0.92	0.96	0.41	0.22	0.50	0.95	0.25	0.42	0.59	0.15	0.56	0.76	0.08	0.31	0.09	0.86	0.46	0.33	0.03	0.95	0.61	0.03	0.30	0.80	0.60	0.98	0.66	0.83	0.70	0.53	0.75	0.07	0.62
ARHGEF11	0.68	0.41	0.90	0.48	0.04	0.30	0.36	0.13	0.40	0.95	0.71	0.78	0.67	0.92	0.65	0.27	0.58	0.96	0.78	0.92	0.38	0.39	0.53	0.80	0.36	0.31	0.67	0.79	0.24	0.68	0.33	0.67	0.67	0.38	0.07	0.64	0.67	0.75	0.73	0.53	0.22	0.17	0.14	0.58	0.01	0.11	0.41	0.83	0.55	0.47	0.93	0.13	0.90	0.75	0.21	0.55	0.41	0.80	0.05	0.55	0.41	1.00	0.38	0.57	0.78
ARHGAP18	0.43	0.97	0.37	0.39	0.72	0.21	0.03	0.60	0.54	0.22	0.71	0.34	0.53	0.03	0.05	0.74	0.81	0.49	0.66	0.28	0.58	0.16	0.69	0.09	0.22	0.79	0.81	0.84	0.77	0.86	0.39	0.63	0.72	0.71	0.50	0.83	0.99	0.84	0.01	0.51	0.03	0.63	0.90	0.72	0.42	0.30	0.76	0.95	0.30	0.49	0.29	0.08	0.25	0.51	0.48	0.16	0.15	0.42	0.10	0.72	0.04	0.47	0.68	0.43	0.54
ROBLD3	0.51	0.53	0.11	0.62	0.27	0.63	0.44	0.11	0.98	0.64	0.98	0.64	0.06	0.30	0.34	0.48	0.29	0.02	0.49	0.88	0.07	0.12	0.99	0.69	0.45	0.43	0.93	0.51	0.84	0.40	0.33	0.20	0.84	0.53	0.16	0.74	0.61	0.03	0.64	0.15	0.81	0.50	0.85	0.79	0.32	0.93	0.78	0.34	0.07	0.58	0.70	0.89	0.75	0.23	0.14	0.92	0.30	0.78	0.69	0.34	0.88	0.18	0.49	0.34	0.27
1500004A13RIK	0.26	0.85	0.51	0.56	0.21	0.12	0.11	0.50	0.56	0.79	0.01	0.97	0.16	0.11	0.42	0.90	0.28	0.13	0.23	0.89	0.51	0.13	0.54	0.05	0.98	0.04	0.90	0.18	0.37	0.37	0.50	0.72	0.93	0.95	0.14	0.46	0.46	0.73	0.69	0.81	0.41	0.83	0.87	0.76	0.64	0.86	0.39	0.41	0.08	0.43	0.89	0.79	0.84	1.00	0.29	0.97	0.28	0.37	0.01	0.45	0.35	0.70	0.31	0.22	0.78
MTX1	0.71	0.06	0.97	0.48	0.72	0.91	0.66	0.89	0.96	0.39	0.33	0.15	0.67	0.82	0.79	0.37	0.22	0.05	0.30	0.48	0.87	0.75	0.11	0.97	0.01	0.93	0.94	0.87	0.37	0.92	0.30	0.80	0.67	0.73	0.02	0.98	0.68	0.04	0.10	0.43	0.43	0.62	0.60	0.70	0.97	0.82	0.97	0.68	0.71	0.16	0.73	0.43	0.64	0.76	0.65	0.60	0.93	0.84	0.74	0.18	0.08	0.15	0.74	0.81	0.03
CKS1B	0.15	0.30	0.71	0.44	0.19	0.50	0.08	0.40	0.43	0.92	0.46	0.15	0.22	0.08	0.29	0.94	0.58	0.73	0.39	0.87	0.55	0.75	0.22	0.42	0.50	0.38	0.66	0.44	0.67	0.03	0.39	0.55	0.02	0.94	0.39	0.60	0.67	0.64	0.07	0.31	0.05	0.79	0.08	0.17	0.17	0.19	0.36	0.96	0.83	0.88	0.45	0.41	0.91	0.21	0.91	0.46	0.71	0.34	0.49	0.27	0.81	0.18	0.82	1.00	0.37
9330159F19RIK	0.10	0.79	0.55	0.53	0.75	0.58	0.99	0.44	0.38	0.25	0.31	0.66	0.63	0.43	0.88	0.48	0.78	0.36	0.02	0.34	0.22	0.48	0.95	0.59	0.98	0.72	0.16	0.78	0.92	0.16	0.25	0.44	0.11	0.21	0.71	0.34	0.74	0.37	0.57	0.66	0.57	0.13	0.11	0.97	0.60	0.05	0.39	0.81	0.52	0.13	0.74	0.65	0.08	0.07	0.15	0.40	0.60	0.11	0.51	0.53	0.42	0.40	0.16	0.59	0.86
RPS27	0.21	0.75	0.40	0.64	0.66	0.76	0.32	0.90	0.82	0.82	0.33	0.13	0.95	0.49	0.10	0.75	0.67	0.28	0.37	0.63	0.66	0.66	0.95	0.19	0.22	0.22	0.28	0.18	0.74	0.26	0.31	0.90	0.62	0.59	0.44	0.59	0.32	0.90	0.27	0.19	0.88	0.25	0.65	0.33	0.78	0.75	0.18	0.21	0.37	0.50	0.09	0.67	0.65	0.67	0.97	0.81	0.22	0.09	0.99	0.48	0.31	0.13	0.33	0.98	0.46
ILF2	0.63	0.16	0.81	0.15	0.53	0.86	0.07	0.26	0.03	0.69	0.96	0.36	0.28	0.47	0.16	0.38	0.41	0.33	0.73	0.66	0.16	0.91	0.68	0.93	0.26	0.27	0.62	0.06	0.25	0.77	0.56	0.08	0.26	0.68	0.91	0.88	0.46	0.53	0.13	0.76	0.80	0.06	0.99	0.74	0.20	0.50	0.94	0.10	0.75	0.06	0.47	0.99	0.28	0.78	0.75	0.10	0.87	0.77	0.79	0.23	0.40	0.60	0.15	0.89	0.07
CENPW	0.43	0.39	0.29	0.46	0.13	0.46	0.73	0.87	0.19	0.59	0.60	0.99	0.46	0.97	0.02	0.76	0.12	0.65	0.92	0.69	0.11	0.19	0.94	0.17	0.59	0.77	0.48	0.60	0.66	0.62	0.10	0.46	0.28	0.46	0.74	0.39	0.22	0.24	0.04	0.87	0.39	1.00	0.87	0.70	0.94	0.76	0.14	0.83	0.20	0.07	0.40	0.10	0.73	0.25	0.96	0.21	0.06	0.97	0.72	0.81	0.52	0.35	0.13	0.93	0.31
SNX27	0.41	0.97	0.74	0.63	0.84	0.31	0.53	0.78	0.77	0.61	0.66	0.52	0.03	0.63	0.35	0.62	0.36	0.36	0.60	0.49	0.51	0.18	0.75	0.60	0.62	1.00	0.13	0.61	0.65	0.48	0.32	0.36	0.90	0.89	0.27	0.92	0.75	0.10	0.45	0.75	0.07	0.40	0.72	0.51	0.02	0.49	0.01	0.57	0.16	0.19	0.10	0.74	0.33	0.09	0.58	0.43	0.03	0.05	0.41	0.73	0.94	0.19	0.38	0.73	0.58
PIP5K1A	0.82	0.02	0.74	0.64	0.19	0.11	0.24	0.38	0.87	0.76	0.12	0.51	0.67	0.23	0.27	0.35	0.31	0.55	0.06	0.24	0.29	0.36	0.00	0.82	0.83	0.74	0.90	0.90	0.81	0.01	0.04	0.14	0.81	0.29	0.56	0.62	0.32	0.76	0.17	0.42	0.49	0.21	0.84	0.19	0.31	0.43	0.73	0.48	0.10	0.21	0.56	0.11	0.82	0.42	0.86	0.32	0.29	0.76	0.46	0.88	0.62	0.16	0.20	0.09	0.38
LASS2	0.41	0.32	0.45	0.93	0.06	0.79	0.10	0.14	0.84	0.20	0.60	0.03	0.40	0.01	0.62	0.29	0.52	0.69	0.90	0.54	0.10	0.81	0.66	0.05	0.71	0.54	0.17	0.01	0.75	0.06	0.80	0.82	0.92	0.72	0.37	0.55	0.88	0.59	0.00	0.54	0.33	0.21	0.61	0.60	0.38	0.33	0.03	0.89	0.08	0.71	0.96	0.21	0.36	0.66	0.75	0.35	0.98	0.71	0.59	0.41	0.82	0.31	0.25	0.12	0.88
MCL1	0.08	0.96	0.92	0.21	0.71	0.09	0.56	0.05	0.81	0.70	0.51	0.40	0.66	0.41	0.14	0.01	0.43	0.01	0.58	0.89	0.64	0.99	0.44	0.41	0.78	0.77	0.58	0.81	0.99	0.84	0.60	0.22	0.57	0.00	0.32	0.47	0.25	0.21	0.62	0.71	0.45	0.71	0.45	0.66	0.58	0.57	0.82	0.21	0.50	0.02	0.73	0.38	0.66	0.29	0.10	0.92	0.02	0.23	0.82	0.09	0.48	0.98	0.82	0.49	0.58
ANP32E	0.19	0.06	0.96	0.29	0.63	0.77	0.41	0.71	0.28	0.10	0.76	0.96	0.57	0.25	0.09	0.44	0.54	0.12	0.66	0.26	0.93	0.93	0.46	0.73	0.96	0.15	0.08	0.12	0.54	0.74	0.93	0.80	0.41	0.04	0.47	0.74	0.21	0.72	0.83	0.85	0.40	0.31	0.75	0.42	0.49	0.85	0.51	0.75	0.24	0.54	0.29	0.64	0.33	0.73	0.92	0.41	0.55	0.87	0.55	0.53	0.24	0.10	0.52	0.26	0.25
RNU1B2	0.40	0.50	0.43	0.94	0.92	0.35	0.82	0.11	0.27	0.18	0.67	0.24	0.18	0.61	0.10	0.92	0.59	0.12	0.48	0.08	0.87	0.46	0.72	0.23	0.19	0.67	0.38	0.29	0.95	0.30	0.46	0.76	0.51	0.35	0.76	0.67	0.08	0.51	0.14	0.56	0.14	0.80	0.49	0.87	0.82	0.65	0.11	0.77	0.89	0.31	0.64	0.64	0.76	0.53	0.82	0.45	0.06	0.93	0.60	0.34	0.89	0.76	0.95	0.41	0.20
POLR3C	0.12	0.11	0.36	0.04	0.91	0.71	0.44	0.85	0.70	0.25	0.99	0.53	0.99	0.36	0.68	0.39	0.49	0.06	0.76	0.17	0.32	0.95	0.96	0.38	0.28	0.01	0.66	0.43	0.80	0.16	0.34	0.90	0.26	0.11	0.83	0.91	0.27	0.01	0.17	0.32	0.69	0.37	0.95	0.19	0.18	0.06	0.43	0.70	0.25	0.11	0.10	0.16	0.90	0.35	0.11	0.11	0.57	1.00	0.99	0.12	0.08	0.04	0.56	0.19	0.01
PHGDH	0.42	0.18	1.00	0.55	0.37	0.40	0.75	0.75	0.54	0.62	0.42	0.83	0.62	0.51	0.47	0.02	0.88	0.33	0.98	0.14	0.61	0.34	0.36	0.36	0.63	0.96	0.82	0.96	0.32	0.12	0.55	0.23	0.32	0.71	0.60	0.40	0.06	0.82	0.34	0.48	0.80	0.14	0.14	0.77	0.32	0.12	0.56	0.79	0.99	0.49	0.52	0.47	1.00	0.98	0.17	0.51	0.27	0.30	0.93	0.13	0.83	0.64	0.87	0.30	0.90
ATP1A1	0.39	0.90	0.82	0.83	0.92	0.76	0.02	0.37	0.97	0.29	0.98	0.73	0.27	0.10	1.00	0.67	0.79	0.31	0.19	0.94	0.21	0.50	0.64	0.21	0.53	0.78	0.53	0.29	0.42	0.81	0.59	0.43	0.97	0.30	0.69	0.27	0.94	0.97	0.93	0.08	0.73	0.57	0.53	0.83	0.54	0.02	0.06	1.00	0.59	0.45	0.03	0.03	0.50	0.61	0.07	0.93	0.91	0.21	0.65	0.45	0.45	0.42	0.29	0.79	0.47
DENND2C	0.90	0.46	0.82	0.34	0.47	0.66	0.07	0.21	0.38	0.81	0.52	0.34	0.23	0.47	0.54	0.89	0.50	0.59	0.45	0.67	0.32	0.12	0.17	0.75	0.83	0.03	0.60	0.23	0.46	0.49	0.59	0.80	0.47	0.75	0.71	0.92	0.32	0.03	0.93	0.02	0.20	0.65	0.53	0.39	0.80	0.47	0.80	0.35	0.73	0.22	0.86	0.97	0.91	0.25	0.17	0.42	0.03	0.79	0.81	0.14	0.62	0.83	0.10	0.49	0.63
SLC16A1	0.87	0.14	0.45	0.04	0.09	0.64	0.86	0.60	0.05	0.13	0.83	0.91	0.07	0.09	0.47	0.46	0.02	0.95	0.77	0.80	0.43	0.45	0.90	0.99	0.25	0.84	0.13	0.00	0.70	0.91	0.62	0.14	0.91	0.26	0.99	0.33	0.94	0.88	0.73	0.32	0.82	0.13	0.76	0.28	0.78	0.62	0.57	0.47	0.03	0.03	0.02	0.23	0.07	0.08	0.13	0.16	0.83	0.82	0.21	0.23	0.89	0.84	0.75	0.23	0.21
WDR77	0.30	0.23	0.44	0.21	0.12	0.81	0.26	0.51	0.76	0.55	0.54	0.69	0.59	0.37	0.29	0.26	0.32	0.79	0.75	0.08	0.62	0.03	0.61	0.23	0.88	0.30	0.10	0.69	0.63	0.66	0.61	0.37	0.89	0.61	0.76	0.59	0.44	0.35	0.05	0.77	0.20	0.21	0.52	0.51	0.16	0.22	0.06	0.58	0.30	0.17	0.32	0.98	0.36	0.58	0.71	0.83	0.36	0.59	0.76	0.05	0.80	0.10	0.51	0.25	0.31
HBXIP	0.13	0.95	0.69	0.13	0.27	0.63	0.04	0.61	0.42	0.62	0.05	0.86	0.73	0.76	0.76	0.17	0.51	0.29	0.87	0.56	0.37	0.55	0.26	0.51	0.85	0.78	0.97	0.24	0.49	0.96	0.22	0.37	0.10	0.06	0.24	0.03	0.47	0.34	0.33	0.26	0.41	0.75	0.39	0.54	0.01	0.50	0.76	0.92	0.90	0.12	0.50	0.49	0.80	0.36	0.94	0.95	0.24	0.34	0.23	0.29	0.90	0.66	0.37	0.06	0.72
GNAI3	0.83	0.37	0.26	0.16	0.76	0.18	0.51	0.67	0.41	0.08	0.87	0.80	0.46	0.24	0.65	0.38	0.94	0.53	0.68	0.45	0.78	0.11	0.45	0.28	0.92	0.37	0.64	0.95	0.20	0.96	0.78	0.00	0.24	0.33	0.61	0.62	0.96	0.77	0.19	0.99	0.52	0.75	0.06	0.60	0.12	0.09	0.89	0.08	0.94	0.81	0.60	0.23	0.26	0.61	0.61	0.03	0.65	0.18	0.04	0.55	0.29	0.80	0.92	0.84	0.38
CLCC1	0.81	0.57	0.06	0.75	0.53	0.50	0.76	0.43	0.24	0.64	0.62	0.99	0.10	0.02	0.31	0.18	0.72	0.74	0.58	0.06	0.68	0.12	0.80	0.92	0.17	0.35	0.21	0.05	0.62	0.41	0.55	0.50	0.82	0.39	0.40	0.99	0.01	0.07	0.98	0.37	0.57	0.88	0.69	0.24	0.53	0.98	0.51	0.30	0.76	0.31	0.79	0.17	0.24	0.64	0.18	0.47	0.32	0.21	0.04	0.44	0.44	0.36	0.51	0.83	0.61
DPH5	0.02	0.38	0.89	0.37	0.32	0.79	0.44	0.88	0.11	0.47	0.08	0.28	0.85	0.48	0.15	0.87	0.68	0.02	0.44	0.69	0.44	0.01	0.13	0.62	0.76	0.00	0.19	0.69	0.25	0.08	0.21	0.09	0.28	0.90	0.29	0.82	0.57	0.67	0.38	0.08	0.66	0.30	0.25	0.13	0.62	0.10	0.09	0.05	0.11	0.39	0.18	0.77	0.20	0.25	0.20	0.44	0.12	0.12	0.73	0.11	0.79	0.76	0.34	0.05	0.31
AGL	0.82	0.19	0.78	0.62	0.37	0.32	0.42	0.83	0.88	0.45	0.67	0.93	0.58	0.46	0.48	0.01	0.04	0.07	0.21	0.34	0.98	0.02	0.77	0.30	0.69	0.08	0.28	0.82	0.90	0.13	0.17	0.66	0.01	0.14	0.64	0.82	0.77	0.87	0.17	0.40	0.18	0.78	0.05	0.55	0.96	0.74	0.32	0.31	0.51	0.62	0.33	0.91	0.13	0.80	0.59	0.94	0.67	0.78	0.50	0.51	0.17	0.92	0.32	0.24	0.33
FNBP1L	0.56	0.99	0.09	0.37	0.63	0.06	0.43	0.61	0.48	0.12	0.33	0.29	0.40	0.51	0.94	0.84	0.35	0.59	0.81	0.19	0.72	0.16	0.79	0.03	0.87	0.55	0.03	0.13	0.53	0.33	0.71	0.10	0.70	0.18	0.41	0.94	0.99	0.94	0.99	0.67	0.27	0.25	0.35	0.74	0.43	0.57	0.68	0.61	0.67	0.22	0.67	0.49	0.17	0.46	0.67	0.23	0.73	0.46	0.59	0.54	0.05	0.25	0.85	0.49	0.51
ALPK1	0.52	0.66	0.39	0.06	0.35	0.32	0.02	0.65	0.44	0.16	0.81	0.23	0.89	0.89	0.70	0.38	0.20	0.40	0.39	1.00	0.68	0.43	0.13	0.25	0.86	0.79	0.36	0.16	0.19	0.16	0.04	0.51	0.19	0.90	0.55	0.15	0.92	0.81	0.18	0.66	0.70	0.41	0.30	0.22	0.72	0.78	0.57	0.75	0.23	0.82	0.38	0.41	0.20	0.96	0.82	0.33	0.01	0.62	0.11	0.98	0.68	0.33	0.89	0.81	0.51
CCDC109B	0.35	0.27	0.47	0.72	0.22	0.57	0.80	0.04	0.08	0.63	0.54	0.93	0.87	0.28	0.54	0.64	0.34	0.03	0.02	0.89	0.54	0.73	0.16	0.08	0.94	0.33	0.76	0.03	0.04	0.45	0.88	0.56	0.22	0.69	0.45	0.73	0.44	0.53	0.20	0.98	0.82	0.40	0.42	0.21	0.84	0.98	0.37	0.50	0.96	0.78	0.14	0.30	0.71	0.49	0.73	0.04	0.71	0.23	0.14	0.57	0.65	0.77	0.72	0.06	0.82
AIMP1	0.05	0.05	0.48	0.11	0.27	0.84	0.24	0.86	0.37	0.85	0.37	0.05	0.29	0.87	0.72	0.92	0.99	0.72	0.39	0.11	0.29	0.66	0.11	0.54	0.29	0.88	0.91	0.82	0.04	0.64	0.85	0.83	0.58	0.20	0.34	0.78	0.28	0.76	0.70	0.92	0.46	0.49	0.72	0.19	0.45	0.92	0.66	0.34	0.24	0.08	0.46	0.35	0.14	0.78	0.94	0.67	0.82	0.94	0.06	0.31	0.05	0.09	0.26	0.60	0.26
MANBA	0.35	0.46	0.25	0.11	0.51	0.49	0.22	0.47	0.73	0.83	0.60	0.86	0.48	0.78	0.00	0.37	0.41	0.33	0.29	0.99	0.68	0.48	0.96	0.53	0.08	0.32	0.51	0.33	0.98	0.13	0.96	0.67	0.78	0.86	0.91	0.69	0.99	0.36	0.05	0.56	0.28	0.87	0.92	0.97	0.91	0.37	0.45	0.87	0.76	0.05	0.06	0.25	0.75	0.68	0.21	0.27	0.54	0.45	0.64	0.53	0.57	0.23	0.10	0.72	0.66
AK002733	0.66	0.95	0.33	0.12	0.13	0.30	0.59	0.72	0.61	0.64	0.72	0.40	0.25	0.78	0.64	0.85	0.25	0.38	0.65	0.46	0.98	0.10	0.05	0.50	0.38	0.57	0.26	0.45	0.65	0.29	0.03	0.65	0.56	0.49	0.57	0.02	0.85	0.17	0.32	0.29	0.87	0.27	0.08	0.49	0.52	0.10	0.70	0.69	0.67	0.58	0.14	0.46	0.69	0.11	0.01	0.32	0.22	0.01	0.96	0.94	0.34	0.65	0.23	0.70	0.12
PDLIM5	0.64	0.88	0.81	0.48	0.41	0.19	0.23	0.62	0.06	0.36	0.12	0.69	0.30	0.44	0.75	0.26	0.64	0.89	0.53	0.83	0.31	0.38	0.91	0.75	0.53	0.11	0.56	0.62	0.48	0.43	0.41	0.52	0.39	0.69	0.68	0.62	0.59	0.89	0.29	0.66	0.17	0.72	0.25	0.50	0.90	0.37	0.98	0.38	0.47	0.83	0.40	0.95	0.67	0.27	0.50	0.08	0.53	0.37	0.85	0.76	0.93	0.13	0.20	0.60	0.97
AMD2	0.16	0.81	0.39	0.19	0.38	0.61	0.34	0.73	0.26	0.47	0.87	0.99	0.36	0.32	0.98	0.78	0.50	0.92	0.56	0.65	0.67	0.07	0.36	0.27	0.53	0.84	0.73	0.47	0.06	0.46	0.29	0.40	0.37	0.18	0.76	0.00	0.67	0.12	0.79	0.73	0.58	0.62	0.48	0.45	0.97	0.82	0.80	0.46	0.56	0.24	0.62	0.08	0.37	0.22	0.74	0.81	0.96	0.40	0.25	0.55	0.02	1.00	0.75	0.03	0.11
GM10636	0.59	1.00	0.49	0.87	0.84	0.86	0.09	0.71	0.71	0.92	0.18	0.43	0.06	0.70	0.74	0.55	0.74	0.77	0.77	0.48	0.74	0.09	0.00	0.17	0.53	0.83	0.19	0.74	0.69	0.69	0.69	0.60	0.32	0.41	0.91	0.61	0.92	0.89	0.41	0.78	0.96	0.11	0.69	0.79	0.51	0.64	0.58	0.78	0.33	0.58	0.91	0.12	0.11	0.32	0.24	0.66	0.99	0.88	0.78	0.22	0.63	0.96	0.22	0.46	0.15
FUBP1	0.70	0.06	0.31	0.95	0.47	0.12	0.20	0.04	0.44	0.83	0.60	0.08	0.54	0.48	0.15	0.61	0.77	0.48	0.20	0.87	0.50	0.84	0.05	0.16	0.10	0.78	0.79	0.81	0.45	0.59	0.79	0.74	0.66	0.22	0.66	0.96	0.69	0.96	0.42	0.33	0.65	0.42	0.12	0.64	0.73	0.79	0.57	0.32	0.89	0.13	0.20	0.65	0.03	0.71	0.55	0.01	0.65	0.23	0.71	0.40	0.08	0.82	0.42	0.02	0.53
ACADM	0.67	0.08	0.65	0.01	0.96	0.49	0.65	0.21	0.04	0.50	0.49	0.21	0.36	0.20	0.05	0.86	0.62	0.42	0.01	0.82	0.90	0.69	0.03	0.06	0.85	0.94	0.31	0.67	0.89	0.28	0.23	0.23	0.92	0.36	0.25	0.10	0.73	0.35	0.21	0.07	0.72	0.10	0.36	0.85	0.62	0.96	0.26	0.41	0.64	0.68	0.37	0.38	0.90	0.27	0.67	0.02	0.58	0.71	0.10	0.74	0.14	0.74	0.46	0.83	0.29
TMEM68	0.00	0.31	0.65	0.25	0.60	0.98	0.59	0.79	0.59	0.94	0.86	0.87	0.28	0.34	0.35	0.70	0.65	0.87	0.16	0.71	0.13	0.34	0.90	0.71	0.93	0.75	0.24	0.41	0.52	0.88	0.17	0.34	0.08	0.78	0.52	0.71	0.90	0.18	0.80	0.19	0.43	0.84	0.49	0.77	0.40	0.57	0.60	0.12	0.81	0.22	0.80	0.94	0.80	0.79	0.06	0.41	0.12	0.34	0.76	0.19	0.08	0.58	0.48	0.85	0.14
FAM110B	0.68	0.50	0.76	0.93	0.72	0.32	0.06	0.14	0.28	0.11	0.31	0.46	0.99	0.21	0.81	0.04	0.48	0.92	0.57	0.78	0.26	0.06	0.87	0.77	0.01	0.71	0.94	0.51	0.64	0.02	0.97	0.49	0.66	0.84	0.54	0.27	0.96	0.07	0.80	0.34	0.86	0.16	0.51	0.52	0.94	0.88	0.79	0.87	0.40	0.34	0.67	0.79	0.89	0.41	0.31	0.09	0.44	0.38	0.82	0.02	0.54	0.14	0.12	0.61	0.80
PLEKHF2	0.85	0.15	0.06	0.69	0.67	0.72	0.89	0.31	0.92	0.27	0.29	0.94	0.46	0.42	0.69	0.00	0.06	0.89	0.17	0.37	0.68	0.56	0.30	0.69	0.94	0.59	0.84	0.30	0.83	0.27	0.66	0.03	0.15	0.11	0.47	0.38	0.15	0.14	0.87	0.26	0.85	0.77	0.70	0.33	0.32	0.17	0.99	0.40	0.18	0.69	0.48	0.86	0.33	0.26	0.82	0.76	0.69	0.74	0.17	0.05	0.96	0.56	0.91	0.77	0.79
FAM92A	0.30	0.37	0.38	0.65	0.02	0.15	0.37	0.76	0.95	0.37	0.77	0.03	0.64	0.83	1.00	0.04	0.33	0.92	0.10	0.53	0.04	0.04	0.76	0.72	0.48	0.45	0.89	0.25	0.81	0.23	0.19	0.31	0.95	0.19	0.66	0.03	0.22	0.12	0.01	0.69	0.02	0.49	0.41	0.15	0.66	0.43	0.74	0.74	0.12	0.47	0.85	0.46	0.44	0.33	0.79	0.74	0.07	0.82	0.24	0.23	0.63	0.12	0.31	0.80	0.25
